sentence	label
I believe John with all my heart to be a fine person.	1
Susan found any book she had been looking for at Borders.	0
Those people, after the party, will not come home.	1
How do you wonder which problem to solve?	0
Many vampires have become vegetarian.	1
I lent Tony the book all the way.	0
The door was pushed open.	1
Tom denied which book he had been reading.	0
Anson tried to shave himself.	1
John talked to every woman.	1
How much harder has it rained, when you see a faster flow in the river?	1
The public never had faith in his ability to handle the job.	1
John put his gold under the bathtub.	1
The river froze solid.	1
The terrier attacked the burglar and the terrier savaged the burglar's ankles.	1
The writers didn't so believe the boy.	0
The children wail	1
The scissors is lost	0
As it rains harder, how much faster a flow that appears in the river?	0
The captain named Seafarer to the ship.	0
Henri wants the book which is on the top shelf.	1
Willow said that she'd kiss Tara and kick Xander.	1
The witch went into the forest by vanishing.	0
The beer bubbled.	1
While Truman didn't tell me a story, he did Rusty.	1
I saw the brilliant student with long hair.	1
It's not the case that every boy has any potatoes.	0
which city the claim that Philip would invade.	1
He hasn't often paid taxes, has he?	1
John eats so much.	1
This girl in the red coat or you will put a picture of Bill on your desk before tomorrow.	1
If you eat more, you want correspondingly less.	1
Bill left when I believe the bomb had just exploded.	1
I searched treasure in the cave.	0
You are a student.	1
The book brings easily to the meeting.	0
They have no friend.	1
It is likely Patrick to leave.	0
China is a country that Joe wants to visit, and he will too, if he gets enough money.	1
John asks in which box he put the book.	1
They'd leave soon.	1
Which poem did you go to hear a recital of last night?	1
If Emma had left Hartfield, Mr Woodhouse would have been unhappy.	1
Jason expected the doctor to treat Medea	1
John offers few suggestions.	1
I want to peruse that contract before filing it away.	1
The chicken has eaten.	1
Which boy is tall!	0
The truck spread salt.	1
The Canadian government uses a parliamentary system of democracy.	1
I believe she is pregnant	1
Mary considered John to have loved her.	1
Time flies like an arrow.	1
Cynthia ate at the peach.	1
Abernathy admitted that the poison pen letter had been written by my sister and him.	1
Pat remembered the appointment and that it was important to be on time.	1
Can he not have been working?	0
Carmen obtained the spare part.	1
I shaved my face.	1
They said that Tom would pay up, and pay up I believe that he did.	1
Lopez says that he has done more than simply give a fresh coat of paint to the site.	1
I never liked his analysis.	1
The tornadoes that tear through this county every spring are more than just a nuisance.	1
John seems know about the bananas.	0
These objections killed the proposal.	1
I noticed John's excessive appreciation of himself.	1
It is to Cleveland that John drove the truck.	1
I gave a picture of a covered bridge and to my sister a hundred hikers from Hoboken.	0
Carla poured lemonade into the pitcher.	1
Proud of him I've never been.	1
The medium contains ions.	1
You said she liked yourself	0
The sheep got infected with scrapie.	1
The course is jumping well.	1
John seems that it is likely to win.	0
The knee replacement candidate groaned up the stairs.	1
That you have done it really well is what I meant.	0
The witch poisoned Snow White.	1
This metal won't pound flat.	1
Tracy has become a republican and of the opinion that we must place nuclear weapons in Europe.	0
I put a book on it.	1
They read the sing book.	0
She's gone and ruined her dress now.	1
This hat the gloves and were on the table.	0
Bill is drying a lot of clothes on the line.	1
I gave the book to Harvey because he asked me to.	1
There was him in the garden.	0
The woman who was here believed that the man was ill.	1
While Doc might claim that Bob had read his book, he won't the paper.	0
The driver of the car thinks that Mary should leave Dallas for Boise tomorrow.	1
Any man didn't eat dinner.	1
John is prouder of having gone than nobody expected me to believe he would be.	0
He's the happiest that I've ever seen him drunk and.	0
I owe my acquittal to you.	1
Mag Wildwood came to introduce the bartender but I came not to.	1
They read the every book.	0
Carmen bought a dress.	1
John wiped the window with a towel.	1
It is with long hair.	1
John learned French perfectly.	1
I sent to you it.	0
The more that John gets upset by them, the more that stories about himself seem to show up in the news.	0
The temperature soared.	1
On the windowsill is a flowering plant.	1
Cynthia gobbled at the pizza .	0
It really bites that we invaded Iraq.	1
I'm glad I saw anybody.	0
The teacher meant.	0
John eats more than he sleeps.	1
Would the men each have been working?	1
I want to go.	1
The more pictures of himself that appear in the news, the more embarrassed John becomes.	1
You and I are as little alike as a horse and a cow.	1
Under the bed is a fun place to hide.	1
He will eat deep fried muffins.	1
Jason asked whether that the potion was ready	0
They wondered what she did yesterday.	1
I expect to double more than my profits.	0
I saw enough of the fool to be convinced.	1
Do you know the boy whom Mary saw?	1
We made them take the money.	1
She held him by the arm.	1
The Canadian bought himself a barbecue.	1
The kids laughed themselves into a frenzy.	1
I cut the bread with this knife.	1
A plan to negotiate an honorable end to the war in Vietnam was gotten wind of.	1
I told the story to Daniel.	1
This drug must first be tested on oneself.	1
The president abandoned the people that voted for him.	1
I hunted game in the woods.	1
The window broke from hail stones.	0
Chris will become talking to colleagues.	0
John thinks that Bill left.	1
John hummed, and Mary sang, at equal volumes.	1
Cynthia nibbled the carrot .	1
That Plato loved Aster deeply was obvious.	1
I pushed on the table.	1
how many have you given of these books to these people.	1
I will read linguistics for an hour.	1
I've never seen a taller man than my father.	1
My brother lives near Strasbourg.	1
They can very.	0
the book of poems from Blackwell with a red cover by Robert Burns takes a very long time to read.	1
He's bound to could do it	1
That chisel carved the statue.	1
That dog bites people.	1
Ellen and Helen conferred.	1
Chris wants himself to win.	1
The present king of country music is more popular than the last one.	1
All the boys should could go	1
This book I enjoyed.	1
Though I may love her, that won't affect the grade.	1
After Henry had done so, Webster touched a sword.	1
Sally will stand near Mag, but he won't Holly.	0
The boy whose we elected guardian's guardian's employer president betrayed us.	0
Humans love to eat pigs.	1
John hit the ball with a bat.	1
Mary desired to go abroad.	1
Traci gave the whale.	0
The metal was hammered flat.	1
We talked about the fact that he was sick for days.	1
The students and Professor Swansong is meeting in the park.	0
I believe that the sun was out.	1
That piano, the boy's loud playing of which drove everyone crazy, was badly out of tune.	1
Emily showed himself Benjamin in the mirror.	0
Gilgamesh is fighting the dragon.	1
I saw him kissing Mary.	1
In spite of his dislike of Mrs Bennet, Mr D'Arcy married Elizabeth.	1
Rosie got struck by lightning.	1
I promise a good time to all who come.	1
There remained just a few problems to be solved.	1
The package drove.	0
The UN blamed global warming on humans on natural causes.	0
Sharon flinched at the sight of the accident.	1
The winter schedule differed from the spring schedule.	1
It hailed.	1
Books send easily to children.	0
This knife cuts well.	1
Rome destroyed Carthage.	1
What did Bill buy potatoes and?	0
How certain that the Mets will win are you?	1
For Aphrodite to appear to be happy would be impossible.	1
There is only one chemical substance involved in nerve transmission.	1
Jason persuaded Medea to be treated by the doctor	1
Ellen and Helen talked.	1
Although no one else believes that Sally is innocent, Harry believes it.	1
Nora pushed her way through the crowd.	1
Ions struck the electrode.	1
I gave a birthday present to my brother.	1
Historians believe FDR to be our most effective president.	1
The capital was gathered near by a crowd of people.	0
Ayala sent back the diamond necklace.	1
John tried for Bill to play checkers.	0
Those days Bill offered Mary everything he cooked.	1
I have as many too many marbles as you.	1
Hasn't Henri studied for his exam?	1
Cynthia gobbled the pizza down .	1
Jennifer craned her neck.	1
the paper to finish by tomorrow is too long.	0
Jessica loaded boxes into the wagon.	1
This key will open the door to the linguistics building.	1
The dog chased the cat for days.	1
Benjamin gave the cloak and sent the book to Lee	1
Each student speaks two languages.	1
It never occurred to Harvey that I might want to leave because he is insensitive to other people's desires.	1
Ellen complained about the situation to Helen.	1
John learned French perfectly immediately.	1
The monkeys seem want to leave the meeting.	0
I know you ate asparagus.	1
John wants him to leave.	1
Tom seems eager to catch a cold.	1
John talked to any woman.	0
when time will you be there.	0
It is tough to play sonatas on this violin.	1
John write books.	0
That monkeys is eating the banana.	0
Was the child found?	1
It is reluctant that Jean left.	0
I inquired could we leave early.	0
Why did John leave?	1
He worked his way through the book.	1
Mickey teamed up with the women.	1
I inquired if we could leave early.	1
Is there anything to do today?	1
Which poem did you hear those recitals of last night?	0
I know which book Mag read, and which book Bob discussed after I had.	0
We ate enough a pudding to satisfy us.	0
That they spoke to the janitor about that robbery yesterday is terrible, the cops.	0
I believe it to be obvious that the problem is not easy.	1
I thought she was pregnant	1
The joggers ran their Nikes threadbare.	1
John put the book on the table.	1
It is to be gentle that John promised.	0
It has rains every day for the last week.	0
Aliza wriggled her tooth loose.	1
The tuna had been being eaten.	1
much information is needed.	1
Brown equipped a camera at Jones.	0
I might eat deep fried muffins.	1
Owners of a pig love to eat truffles.	1
Steve tossed at the ball.	0
I broke those twigs and branches apart.	1
Felicia threw the ball off the bench.	1
The hotel where Gloria stays is being remodelled.	1
Sally is making scones, and Gillian is too.	1
They like their books.	1
Aphrodite wanted to live and Ishtar tried to	1
That John loves Mary is doubtful.	1
Such a scholar as you were speaking of just now is here.	1
She kept not seeing him.	1
Shelly loves who?	1
Every picture of itself arrived.	1
it mattered on Sunday.	1
Sally wishes that everyone would praise herself.	0
That anybody ever left at all is impossible.	1
Who did you say that John thought would leave early?	1
The lions ate raw the meat.	0
George sang to himself.	1
I gave a picture of a covered bridge and a hundred hikers from Hoboken to my sister.	1
We rich have impeccable taste.	1
Couldn't you get any tickets better than this?	1
The cup filled water.	0
for John to hurt oneself is stupid.	0
Physicists like yourself are a godsend.	1
I think that the trolls will take the shepherd tomorrow.	1
I broke the twig and the branch apart.	1
Each other's houses seem to the women to be garish.	1
I wanted him to leave.	1
It is likely that Jean left.	1
Sally eats the stuff more.	1
Peter is some disgruntled old pigs in those ditches.	0
Some of the fruit be going bad.	1
We called up every man whose father and whose mother had played on the team.	1
I took a snooze.	1
Tom tried for Bill to ask a question.	0
What have you eaten?	1
The man who I read a statement which was about is sick.	0
She kicked itself	0
The puppy licked the kitten's face.	1
The man a ball kicked.	0
He treats John very shame.	0
The presentation of a plaque was a proud moment.	1
The student met John came.	0
The student knows the answers.	1
Jim was chopping logs when Margaret left and was still at it when she got back.	1
His second book came out earlier this year and became an instant best-seller.	1
I read a book during the vacation which was written by Chomsky.	1
We'll do it together, you and I.	1
Brenda agreed with Molly.	1
We elected president the boy's guardian's employer.	1
John gave a book to the student.	1
It is important to be more careful, the more you eat.	1
No one can forgive you that comment.	1
Anson appeared	1
I mixed the sugar and the butter.	1
The bell rang.	1
Both the workers will wear carnations.	1
I ate.	1
Mary drank some beer in the barn from 6 to nine.	1
John believes that Fred likes steak that Joe likes pizza.	0
John did not leaving here.	0
That acorn will grow from a seed into an oak tree.	0
Who was for Medea to poison awful?	0
Penny rowed across the lake.	1
Raffi has made pasta, and David has too.	1
Intelligent though he may seem, he does not seem deep.	1
My nephew could write letters the postcards to his parents.	0
John is easy to please and to love Mary.	0
They think she is too much happy.	0
This arch supports the weight of the tower.	1
Bees are swarming in the garden.	1
Paul has interviewed any student who was at the scene of the crime and Kate has interviewed them too.	0
Bill confirmed that Roger has eaten the cake.	1
John placed the flute the table.	0
I made a proposal we squander the money.	0
A solution immediately presented itself.	1
Maxwell isn't half the doctor that that he would be if he studied is certain.	0
Steve swatted Jennifer.	1
Mary believed John to have loved her.	1
Fred must both have been singing songs and have been drinking beer.	1
The snake flattened itself against the rock.	1
Mr Knightley suggested that thieves would break into Hartfield.	1
John put his books in the attic.	1
To which city and which conference did Bill go to?	0
They sat on Mary.	1
The harder it has rained, how much faster a flow that appears in the river?	0
How clever you are!	1
To Louis was sent a book.	0
How have you picked up TNT carelessly?	0
Benjamin gave to Lee it.	0
The noise gave Terry a headache.	1
Susanne gave the minivan to George.	1
Who did you believe that came?	0
That whether the world is round is unknown bothered Athena.	0
Pictures of whom appeared in the newspaper?	0
I like Anson	1
The higher the stakes, the lower his expectations.	1
All of the land belongs to the government.	1
Has the potion not worked?	1
There is believed to be a sheep in the park.	1
He turned from a prince into a frog.	1
The boy who I watched Bill and was vain.	0
He's such a tall man that doors are dangerous to him.	1
The collection of syntax articles with the red cover bores students of syntax in Tucson.	1
Which cake did you see the man who baked?	0
They whispered that the winner would be announced tonight.	1
The owl hated the evil and the wise eagle.	0
There jumped out of the box a little white rabbit.	1
I detached the handle and the box.	0
I love but you hate ice milk tea.	1
The answer knows easily.	0
Who did you wonder what kissed?	0
No John Smiths attended the meeting.	1
The king kept putting his gold under the bathtub.	1
John kept him busy.	1
What she did was e-mail all her friends.	1
The truck rumbled into the driveway.	1
I asked who did Medea poison.	1
Who did Robin visit and?	0
Sue put the books on the table and the records on the chair.	1
The lawyer looked into the document.	1
The twig and the branch broke apart.	1
The Gorgon is easy to believe the claim that Perseus slew.	0
Gilgamesh might loved Ishtar	0
John was unknown.	1
Brian was wiping.	1
Cat ate the spider.	0
Which problem the sooner that you solve, will the more easily you satisfy the folks up at corporate headquarters?	0
Some sentences can go on and on.	1
I inquired when we could leave.	1
Medea wondered if that the potion was ready	0
Because he's such a nice guy, what would John like?	1
That piece of ice is too big for for him to be able to pick up with a teaspoon to be likely.	0
John fed rice to the baby.	1
the assassination of the president.	1
Us love their.	0
Which picture that John took at the party did he decide to display in his house?	1
I made it easy to get along with John.	1
To please John is tough.	1
Ellen warned that melons were selling.	1
I liked Mary and John.	1
Doing syntax is not easy.	1
Lenin believes the Tsar to be a power hungry dictator.	1
the person stand on my foot is heavy.	0
I sent him that.	1
Everyone should be able to defend herself.	1
The sun dried the clothes.	1
John learned French perfectly almost immediately.	1
Mickey teamed with the women up.	0
We spotted them run.	0
Bill and Mary washed himself.	0
With what did the baby eat the food?	1
Stephen persuaded there to be a fountain in the park.	0
My niece could write me you letters.	0
The boy's uncle and aunt were kissing.	1
The baby chewed the biscuit.	1
I don't plan to lock the door, no matter how fancy this hotel is.	1
Tom tried to ask a question.	1
The cake was eaten.	1
Doug cleared at the table of dishes.	0
Cynthia devoured .	0
Mary gets depressed if she listens to the Grateful Dead.	1
The builders destroyed the warehouse with explosives.	1
People like lard.	1
The quiche and I were cooking.	1
The square remained with a crowd of people.	0
Sylvia jumped the horse over the fence.	1
Mary wants to wear nice blue German dress.	1
The jeweller printed the name over the door.	1
I mixed the eggs and cream.	1
Nobody told them anything.	1
John is taller than Bill by that much.	1
Mary sang a song, but Lee did not.	1
The visas are with the passports.	1
Every senator seems to become more corrupt, if he talks to more lobbyists.	1
John convinced Bill to cook the rice.	1
Carmen bought a dress to Mary.	0
The song sang.	0
Jason persuaded Medea that she should desert her family	1
She doesn't believe much of that story.	1
I wanted any cake.	0
The men all would not have been working.	1
A friend of mine and a girl who was from his home town met in Vienna who was working in Europe.	0
Linda winked in agreement.	1
I liked Mary.	1
Pelé visited his uncle.	1
There stood on the comer a statue of Jefferson.	1
At most three boys didn't see anything.	1
John is likely to be kept on participants.	0
I'm sad, as much as I'm angry.	1
Mary questioned Joe's desire to eat cabbage, but only after I had questioned Sally's desire to.	0
It and that he loved another was painfully evident that she loved him.	0
The drunk hugged the lamppost.	1
What place did you travel to?	1
Lee likes not Kim.	0
Monica moved at the cat.	0
Some professor admires every student.	1
What did Bill make the claim that he read in the syntax book?	0
There are seven pine trees behind that barn.	1
I will try and buy some whiskey.	1
As it rains harder, how much faster a flow appears in the river?	1
The students all worked that summer.	1
I lifted the books from the floor to the table.	1
The claim you won't need it is being made by Jack.	0
we need to provide two trees and.	1
The sign warned us against skating on the pond.	1
The contractor will build a house for $ 100,000.	1
He will eats deep fried muffins.	0
Red picture desk, this girl in the red coat will put a picture of.	0
He seems to become more corrupt, the more lobbyists any senator talks to.	0
The red volume of obscene verse from Italy shocked the puritan soul of the minister with the beard quite thoroughly yesterday.	1
The more he reads, the more books I wonder to whom he will give.	0
Sam gave the ball off the shelf.	0
Reports on the covers of which the government prescribes the height of the lettering almost always put me to sleep.	0
Who left Bill.	1
John asked whether she left.	1
There seems to be a nurse available.	1
Do some of your relatives live nearby?	1
John believes that Bill saw himself.	1
Do you think that he sometimes went there alone?	1
The book to whom did you give.	0
Bob is too thin for me to be able to squeeze into jacket.	0
Her cousin clerked for Judge Davis.	1
Julia and Maria wanted to be allowed to perform a play.	1
The clown amused the children with his antics.	1
That arrows don't stop in midair is captured by this theory.	1
The department has been chosen John for the position.	0
We rummaged in the drawer for important documents.	1
A proof that God does exists.	0
It was the man I saw that you wanted to meet.	1
John did not rain.	0
I admired him a teacher.	0
They heard that John criticized each other.	0
Wash himself.	0
John met in the park a student.	0
They would have been walking for hours.	1
Maisie drove her car on Wednesday from Morningside to Leith.	1
Who do you think that saw Bill?	0
John danced waltzes across the room.	1
The manager presented the foreman a gold watch.	0
Leslie was in the flood zone.	1
The cook boned the fish of bones.	0
Doug went to Chicago.	1
Harry got to be as much of the celebrity as his father.	0
He hit the ball.	0
Jean is likely to dance.	1
The student who got A in the class was very happy.	1
It is beans that I don't like.	1
The committee haven't yet made up its mind.	0
He thought that Dracula was the Prince of Darkness.	1
Who do you think that Bill likes?	1
Kim depends on Sandy.	1
This book cost $10.	1
The electrode emitted ions into the medium.	1
Mary tried John to go abroad.	0
I sent money.	1
John included her name in the list.	1
What did you buy at the supermarket?	1
I doubt if you can help me in understanding this.	1
The tub filled with water.	1
The architect selected a house for the couple.	1
Rutherford understands himself.	1
Kiss pigs is my happiest memory	0
John is afraid of dogs.	1
As a statesman, he scarcely could do anything worth mentioning.	1
To improve himself, Bruce should consider therapy.	1
John, who and whose friends you saw, is a fool.	0
Bill pounded the metal.	1
The captain named the ship as Seafarer.	0
How do you wonder whether Mary solved the problem?	0
I asked the question.	1
The tree dropped fruit to the ground.	1
I want to peruse that contract before damaging it while filing it away.	1
Who loves whom?	1
These are similar with the bottles.	0
Sam progressed.	1
I admired him as a teacher.	1
Smith loaned, and his widow later donated, a valuable collection of manuscripts to the library.	1
He will can do it	1
Pat cured of pneumonia.	0
Mary sent.	0
Enough is going on to keep them confused.	1
He walked right the wall.	1
John coughed himself awake on the bank of the lake where he and Bill had their play.	1
She tried to left	0
Leah likes cookies.	1
I prefer for the girl to will win.	0
Everyone thinks he is smart.	1
The birds devour the worm.	1
Patrick to leave is likely.	0
It is the garden that the gardener planted with roses.	1
Fluffy is sick, which I slapped a boy who wouldn't acknowledge.	0
On which bed does Tom sleep?	1
This Government have been more transparent in the way they have dealt with public finances than any previous government.	1
It is likely that John has loved Mary.	1
Jean is likely to leave.	1
John asked me to put the clothes in the cupboard, and to annoy him I really stuffed them there.	1
Either Professor Swansong or the graduate students are going to proctor the exam.	1
Bill recited his lines poorly.	1
Bill gave Sue the book.	1
Which picture is Ann going to send to her teacher of Chairman Mao as soon as she gets home?	0
She believed never his story.	0
Heidi thinks that the salmon flavored candy bars were eaten.	1
Louise is unhappy, isn't she?	1
The therapist's analysis of Lucy	1
To improve herself, Jane went to a health spa.	1
Amanda carried packages to New York.	1
We rummaged through the desk for papers.	1
I like Mary and she does too.	0
I had hoped that it was true for many years that Rosa Luxemburg had actually defected to Iceland.	1
Did he try ever to talk to the student?	0
Ann may spends her vacation in Italy.	0
Harriet couldn't marry Mr Knightley but Emma could.	1
The spunky girl has a black eye.	1
They reputed him to be a good scholar.	0
He left.	1
He is looked generally on as selfish.	0
Marble carves easily.	1
The president declared Smith as press secretary.	0
The kennel in which Mary keeps drugs and Fido sleeps has been stolen.	1
Julie filed letters to herself.	1
Did you believe him to ever have made an effort to talk to the student?	1
much evidence is needed.	1
Susan bought her birthday some flowers.	0
The window was broken by a hammer.	1
Bill's mother's friends and John are waiting at the restaurant.	1
Frank Churchill gave a piano to Jane Fairfax.	1
He's as reliable a man.	1
It is an alive fish.	0
It hasn't yet been determined whether this is feasible.	1
The car honked down the road.	0
Dorothy needs new shoes.	1
Why did you eat the cake?	1
Dean drank more booze than Frank ate Wheaties and Sammy drank.	0
Kane ate dirt.	1
Which hat do you believe that she never wore?	1
They promised it to rain.	0
John believes to have slept.	0
Tonight, what Bob cooked yesterday still tastes good.	1
John left at 11 and at 12, Bill.	0
They have no and.	0
Would not the men enjoy that?	0
The child is impossible to teach him.	0
John promised Bill to leave.	1
Handsome though that Dick will be is likely, I'm still going to marry Herman.	0
Steve pelted at Anna.	0
Her family are all avid skiers.	0
In price soared oil.	0
The new tax Jaws will gain the middle class.	0
Jake sent the box towards Carson.	0
John made Mary to cook Korean food.	0
The senators certain that the president is telling a lie.	0
Louis begged Kate to shave himself.	0
John wonders whether Mary will win.	1
Lucy sent a letter to Jane.	1
A motorist has reported the road is blocked at Bunker Hill.	1
Little did I know that more trouble was just around the corner.	1
Someone from every city hates it.	1
I loaned a man who was watching the race my binoculars.	1
Cora coiled the rope around the post.	1
Jason became invisible, so that he could escape	1
The monkey eager to leave the meeting.	0
This very heavy parcel was delivered yesterday.	1
Jane has more nearly as many too many than Mary.	1
The police read the detainees' rights to them, but not a single one was paying attention.	1
John saw more horses than Bill saw cows or Pete talked to.	0
Medea thought that, after the executioner had left, Poseidon would be relieved.	1
Medea poisoned more children than Jason did.	1
Won't John go to school?	1
Kim went to the store, and then Lou.	1
I love the food they cook in the halls of residence.	1
Will John not go to school?	1
The magician echoed the music.	0
Carrie touched the cat with the stick.	1
How likely to win is he?	1
That Chris knew the answer occurred to Pat.	1
Heather cabled the news at Sara.	0
The more John eats, the tighter keep your mouth shut about it.	0
He can't possibly do that, can he	1
John's mother likes him.	1
Truman told the story Bob.	0
Who is reading a book that criticizes who?	1
I asked for him to eat the asparagus.	1
She seem to have given financial assistance to an important French art dealer.	1
the student left.	1
Which man did you talk to?	1
Did Captain Wentworth write a letter to Anne Elliott?	1
The squirrel ran right quickly.	0
They want to are kind to her.	0
John will study syntax, and Mary, too.	1
He told her the whole story.	1
A bicycle lent to me.	0
Linda taped the box with two-sided tape.	1
Professor Smith would support Sue and Prof Jones Bill.	0
I wonder you ate how much.	0
He gave me many marbles.	1
I'm more worrying than thinking.	0
The fear shivered Sharon.	0
I put the milk in the fridge.	1
Sam picked those packages up which are to be mailed tomorrow rest might, but he didn't want to do so until it had stopped raining.	1
I saw him ever.	0
Steve pelted at Anna with acorns.	0
I gave Leah the box.	1
Jaime danced a jig.	1
Whenever Bill smokes, Susan hates him far more.	1
Louis was forgiven.	1
The Dodgers beat the Red Sox and the Dodgers were beaten by the Giants.	1
Cynthia lunched at peaches.	0
I met John who grows peaches.	0
Aphrodite did free animals	1
There were killed three men.	0
Felicia wrote a fine paper on Zapotec.	1
They wonder whether Mary will run.	1
He always might eats deep fried muffins.	0
Both of the workers will wear carnations.	1
Wear it like that is what you do.	0
I handed to Reg.	0
The dog barked its way out of the room.	1
is taller than that man.	1
He failed chemistry because he can't understand it.	1
You would have a reply if you come back tomorrow.	1
the pencil with that he is writing broke.	0
I will, if I can work on it.	0
I was surprised that he stole the watch, in as far as that was a daring thing to do.	1
